"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level","High_education_level","Low_education_level"
"47",47,"L",7374,3848,13268,5471,48.3,75.4,74.6,26.3,11.1,13,4.2,4,5.5,38.7,15.7,52.8,18.6,0.521833468944942,"Leave",34.1,44.1,28.4,29.3,17.2,29.3,17.2
"48",48,"NW",2954,1698,6233,2756,50.4,98.9,82.8,32.5,6.8,9.3,2,3.7,5.3,27.5,10.8,56.6,26.1,0.574813811780636,"Leave",31.2,48.2,0.8,19.9,24.6,19.9,24.6
"49",49,"SW",7030,4980,13997,5908,48.9,98,50.4,18.7,38.8,9,3.1,5.7,9.1,16.3,28.6,71.9,38.3,0.708392603129445,"Leave",33.5,42.8,2.1,10.5,35.1,10.5,35.1
"50",50,"WM",3559,2414,6484,2637,47,98.1,76.9,20.6,10.5,11.5,2.3,3.7,5,28.4,30.7,54.5,25.3,0.678280415847148,"Leave",37.4,40.2,2.2,18.2,26.2,18.2,26.2
"51",51,"SE",7914,5503,14068,5609,46.2,94.5,50.7,16,34.9,12.7,3.5,5.9,8.4,23,29,66.3,33.1,0.695350012635835,"Leave",36.1,37.5,5.9,14.7,32.3,14.7,32.3
"52",52,"EE",2611,1316,4180,1705,51.5,96.2,77.2,30.9,7.6,11.9,3.3,2.3,3.3,47.7,0.8,45,15,0.50402144772118,"Leave",28.4,47.8,3.8,36.5,16.1,36.5,16.1
"53",53,"WM",6221,4381,11986,5109,49.7,87.2,67.9,27.8,23.4,7.2,3.7,6.1,8.9,23.2,25.4,64.5,31.8,0.704227616138884,"Leave",33.3,46.4,15.5,15.1,33.3,15.1,33.3
"54",54,"NW",3962,1900,14012,4376,41.8,34,56.2,27.6,26.3,14.3,7,7.8,14.1,12,52.7,79,44.7,0.479555779909137,"Remain",40.6,24.7,114.7,11.1,41.2,11.1,41.2
"55",55,"NE",5489,3258,10649,4952,49,93.4,69.4,29.8,10.8,18.1,7.6,4.7,7.2,30.3,50,59.4,27.1,0.593550737839315,"Leave",36.5,48,6.6,25.9,23.8,25.9,23.8
"56",56,"NE",5485,3262,10817,4381,48.5,96.6,67.8,22.2,23.7,7.8,3.5,4.6,6.7,31.3,15.3,56.4,25.5,0.594712853236098,"Leave",32.1,46.6,4.3,22.8,23.5,22.8,23.5
"57",57,"SE",3968,2054,7995,3434,44.9,88.6,61.5,17.8,23.6,12.9,2.8,4.2,5.4,39.2,40.9,50.7,19.7,0.517641129032258,"Leave",41,36,12.8,28.5,16.5,28.5,16.5
"58",58,"EE",3180,1747,4379,1726,47.4,80.2,59.7,20.2,29.5,9.2,4.1,5.5,7.7,24.9,7.9,62.1,29.2,0.54937106918239,"Leave",35.2,39.6,24.6,18.5,25.5,18.5,25.5
"59",59,"SE",1516,799,3075,1178,50.1,95.5,86.8,30.1,2.6,9.1,2.5,2.9,3.7,49.8,1.6,41.3,12.4,0.527044854881267,"Leave",30.4,48.1,5.2,33.4,15.3,33.4,15.3
"60",60,"L",7411,1653,14418,6277,40.1,57.1,20.8,7.4,44.9,32.3,10,6.6,9.4,41.6,161.4,71,36.7,0.223046822291189,"Remain",53.9,25.8,37.5,41.8,20.6,41.8,20.6
"61",61,"SE",1765,1296,4396,1793,48,90.4,53.6,17.8,37.7,5.2,2.7,5.1,7.5,22.7,40.7,68.3,31.7,0.734277620396601,"Leave",35.2,40.5,10.3,14.4,32.5,14.4,32.5
"62",62,"L",6578,1083,11680,5277,43.4,81.1,51.9,23.8,10,36.2,6,3.1,3.9,65.6,47.9,46.9,13.9,0.164639708117969,"Remain",50.9,32.2,16.9,65.7,6.4,65.7,6.4
"63",63,"Y",9819,6050,15095,6700,50.1,97.6,73.1,27.2,15.6,10.1,2.3,3.8,5.3,33,23.6,56.2,24.1,0.616152357673898,"Leave",32.8,47.6,2.2,23.7,25.1,23.7,25.1
"64",64,"L",5281,3422,10846,4026,46.2,76.3,47.1,14.4,42.4,8.9,4.6,7,10.3,18.9,45.8,72.3,37.5,0.647983336489301,"Leave",35.2,36,23.1,12.8,34.8,12.8,34.8
"65",65,"SE",7310,4580,13608,5643,46.9,90.7,65.6,22.6,13.8,19.4,4,3.9,5.2,31.6,48.2,56.7,23.5,0.626538987688098,"Leave",37.8,40,9.4,20.8,23.1,20.8,23.1
"66",66,"NW",8159,3727,14291,6619,49.7,96.6,76.4,30.9,4.4,18,3.2,4,5.8,38.1,45.7,53.5,22.3,0.456796176001961,"Remain",34.5,47.2,3.9,30.3,19.4,30.3,19.4
"67",67,"Y",6283,3352,11313,4846,48.7,97.8,75.1,26.7,12.8,10.7,2.8,3.7,5,41.9,2,49.1,21.1,0.533503103612924,"Leave",33.1,44.7,2.3,32.6,19.2,32.6,19.2
"68",68,"L",5182,1254,9314,4034,42,81.9,60.9,22.6,3.8,34.2,3.9,2.5,3,64.7,83,36.9,11.4,0.241991509069857,"Remain",54.2,28,20.1,60.7,7.8,60.7,7.8
"69",69,"L",4716,1398,13428,5224,41.8,52.2,32,13.8,35,30.2,9.7,7,10.3,28.2,98.5,73.5,38.6,0.296437659033079,"Remain",48.8,29,43.9,30.6,23.9,30.6,23.9
"70",70,"WM",7866,4417,12523,5317,53.3,94,78.6,37.9,13,7.4,2.7,3.9,5.8,40.8,27.7,53.6,21.5,0.561530638189677,"Leave",28.2,53.3,9.2,30,23.7,30,23.7
"71",71,"WM",6027,4153,12462,4904,47.3,82.6,60.8,22.1,29.5,8.1,3.8,7.4,10.8,19.7,46.2,67.6,34.6,0.689065870250539,"Leave",35.7,39.3,21.4,14.5,34.2,14.5,34.2
"72",72,"SW",6948,4531,11817,5017,50.4,97.2,69.8,29,20.5,8.5,6.7,2.9,4.5,23.8,14.5,65.4,29.9,0.652130109383995,"Leave",31.3,51.5,3.1,15.8,27.8,15.8,27.8
"73",73,"WM",3375,1932,5553,2350,50.3,96.3,83.3,30.8,7,8.9,2.9,2.3,3,40.7,16.6,47.8,17,0.572444444444444,"Leave",30.9,49.7,4.3,29.3,19.8,29.3,19.8
"74",74,"Y",8280,3370,15547,6995,47.8,84,69,26.7,8.6,20.6,3.4,4.1,5.6,42.1,25.6,54.7,22.6,0.407004830917874,"Remain",38.9,41.4,24,36.9,19,36.9,19
"75",75,"L",5693,1378,12665,5930,42.7,73.6,34.5,18.6,32.5,31.1,9.4,4.4,6.2,56.3,111.4,61.8,25.4,0.24205164236782,"Remain",49.9,33,24.3,53.9,11.7,53.9,11.7
"76",76,"WM",3888,2437,7025,3068,52,97.2,80.3,37.4,8.8,9.7,2.9,3.5,5.1,36.3,29.2,55.9,23.4,0.626800411522634,"Leave",30.6,51.8,3.6,24.1,25.1,24.1,25.1
"77",77,"L",6679,3162,14409,5015,44.3,51,60.8,20.7,8.3,29.2,6.1,4.9,6.7,30.1,43.7,63.7,27.8,0.473424165294206,"Remain",43.5,33.5,57.1,30.2,17.8,30.2,17.8
"78",78,"EM",6849,4523,16862,7345,49,80.7,47.5,15.7,41.2,9.4,3.9,7.4,12.4,17,33.8,76,45.6,0.660388377865382,"Leave",33.5,40.9,22.2,11.6,41.9,11.6,41.9
"79",79,"NW",2648,1666,5329,2415,50,99.3,83.2,33.7,5,11.1,2.1,4.1,6,29.2,7.5,60.1,28,0.629154078549849,"Leave",32.3,48.4,0.6,19.3,21.7,19.3,21.7
"80",80,"NW",1426,904,1932,829,50.7,98.2,91.5,40.9,0.6,7.1,3.4,2,2.8,39.9,1.8,47.3,17.7,0.633941093969144,"Leave",29.8,53.6,2,29.3,20.1,29.3,20.1
"81",81,"NW",5874,3796,12535,5457,46.4,94.3,62.3,19.1,24.4,12.4,2.8,5.3,7.5,23.9,34.6,63.7,31.5,0.646237657473613,"Leave",38.2,38.7,7.6,15.3,29.7,15.3,29.7
"82",82,"WM",10015,6793,25402,10354,46.8,75,47.6,15.7,37.9,12.5,4.6,8.4,12.9,19.7,30,72.5,39.4,0.678282576135796,"Leave",36.6,37.1,30.4,13.4,37.7,13.4,37.7
"83",83,"WM",6418,3589,16601,5429,43.8,37.8,60.6,24,20,17.5,6.8,8.4,14,18.2,46.3,72.4,39.8,0.559208476160798,"Leave",40.1,29.5,96.4,16.4,33.5,16.4,33.5
"84",84,"SE",3496,1445,4207,1664,53,97.6,86.4,37.2,4.6,8.1,2,1.5,2.1,45.3,3.4,43,11.7,0.413329519450801,"Remain",27.2,53.1,2.3,37.8,17.7,37.8,17.7
"85",85,"EE",4196,816,7900,1718,34.3,80.4,56.7,37.1,7.8,32.4,59.6,0.9,2.7,73,18.2,40.4,7.8,0.194470924690181,"Remain",67.7,21.6,20.7,55.3,1.7,55.3,1.7
"86",86,"EE",2593,1087,4701,1885,52,97.3,75.1,32,12.7,8.8,2.2,2.1,2.9,47.8,0.5,43.7,14.1,0.419205553413035,"Remain",26.6,51.7,2.7,39.5,16.6,39.5,16.6
"87",87,"NW",2651,1723,7059,3163,46.9,91.7,54.7,21.5,18.1,25.2,3.3,7.3,11.8,17,41.3,73.5,39.9,0.649943417578272,"Leave",37.2,38.2,12.2,12.9,35.4,12.9,35.4
"88",88,"L",5513,2840,11701,3730,43.8,34.7,59.9,23.3,9.4,28.8,8.1,5,7.1,27.7,85.7,65.8,30.9,0.515146018501723,"Leave",43.2,33.8,95.5,29.4,22.5,29.4,22.5
"89",89,"SE",4895,3234,10476,4013,43.5,92.5,73.4,14.8,12.9,12,2.7,4.6,6,29.6,53.7,52.2,20.8,0.660674157303371,"Leave",40.6,33.3,8.5,18.2,19.8,18.2,19.8
"90",90,"NE",5015,3137,11092,5003,49.9,98.8,61.1,25.4,27.9,10.3,2.9,5.1,8.5,20,7.3,69.4,37.2,0.625523429710867,"Leave",32.3,47.7,1.4,14.2,34.5,14.2,34.5
"91",91,"L",5721,1591,11871,5579,41.1,74.4,31.8,12.8,41.9,23.9,7.8,5.2,7.1,55.9,150.4,58.5,27.6,0.278098234574375,"Remain",54.1,29.3,22.6,53,17.3,53,17.3
"92",92,"EE",1475,592,2176,866,51.9,97.6,80.1,35.4,12.6,5.9,2.3,1.8,2.6,51.5,1.5,41.1,11.8,0.40135593220339,"Remain",25.4,51.9,2.9,43.2,14.9,43.2,14.9
